"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","761,542","590,195","252,402","114,766","2,342","158,145","2,646","6,473","53,421","8,683","44,738","171,347","17,581","2,425","7,034","1,436","457","103,432","38,982","27,751","11,231"
"Congressional District 14 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","719,826","552,889","229,308","17,824","926","256,583","9,342","5,064","33,842","7,959","25,883","166,937","25,364","744","7,605","2,783","0","74,940","55,501","44,559","10,942"
"Congressional District 15 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","784,297","606,652","212,271","40,616","1,938","306,340","8,205","3,769","33,513","5,210","28,303","177,645","21,614","1,147","4,519","2,144","231","91,784","56,206","48,206","8,000"
"Congressional District 16 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","751,686","273,480","144,535","31,551","3,409","70,311","1,106","2,545","20,023","3,610","16,413","478,206","50,749","2,606","8,698","595","0","243,586","171,972","163,037","8,935"
"Congressional District 17 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,306","659,473","157,836","15,664","1,790","442,789","5,552","6,170","29,672","4,239","25,433","111,833","11,196","482","3,075","1,840","793","57,779","36,668","30,503","6,165"
"Congressional District 18 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,174","597,127","329,150","16,349","217","204,042","1,250","5,606","40,513","7,244","33,269","124,047","13,538","542","4,594","1,590","0","43,276","60,507","53,816","6,691"
"Congressional District 19 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,407","440,284","165,491","18,638","948","221,082","2,891","3,611","27,623","4,037","23,586","282,123","25,405","2,147","8,619","597","369","112,118","132,868","120,658","12,210"
"Congressional District 20 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","748,911","340,064","253,801","11,900","829","39,932","2,778","4,412","26,412","4,305","22,107","408,847","31,734","1,415","7,774","2,216","0","252,555","113,153","102,213","10,940"
"Congressional District 21 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,991","171,418","108,395","29,630","1,679","21,553","417","2,402","7,342","1,402","5,940","547,573","117,492","1,038","6,956","201","310","213,230","208,346","201,277","7,069"
"Congressional District 22 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","810,279","401,073","275,469","26,291","1,969","68,164","1,414","3,405","24,361","4,873","19,488","409,206","60,626","967","7,105","3,872","70","168,615","167,951","147,988","19,963"
"Congressional District 23 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","770,688","429,370","300,990","43,688","5,279","42,364","2,041","4,950","30,058","6,905","23,153","341,318","74,444","2,245","7,735","2,765","608","102,416","151,105","138,042","13,063"
"Congressional District 24 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","740,591","460,819","378,178","11,523","856","32,644","696","5,238","31,684","6,448","25,236","279,772","39,199","554","7,425","1,786","750","91,824","138,234","126,786","11,448"
"Congressional District 25 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,117","412,394","257,233","53,115","1,155","61,800","1,206","5,957","31,928","6,356","25,572","325,723","39,410","1,962","7,426","1,787","98","131,320","143,720","135,424","8,296"
"Congressional District 26 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,217","382,040","291,752","10,408","1,076","49,553","907","3,261","25,083","4,411","20,672","335,177","78,096","1,137","16,586","1,291","354","75,487","162,226","149,748","12,478"
"Congressional District 27 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","688,082","489,599","162,598","31,948","495","259,202","3,397","3,543","28,416","4,537","23,879","198,483","27,707","1,181","4,501","2,272","0","97,294","65,528","57,133","8,395"
"Congressional District 28 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","694,675","528,741","374,725","23,132","1,474","91,584","1,043","6,255","30,528","5,405","25,123","165,934","18,153","364","5,569","1,758","119","88,548","51,423","43,243","8,180"
"Congressional District 29 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","691,770","227,125","129,872","21,757","205","54,843","973","4,160","15,315","2,366","12,949","464,645","36,710","2,230","8,906","500","38","257,808","158,453","148,800","9,653"
"Congressional District 30 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","764,996","548,909","363,904","33,417","1,270","107,704","755","5,642","36,217","5,159","31,058","216,087","25,126","978","4,278","1,633","103","112,724","71,245","60,852","10,393"
"Congressional District 31 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","758,538","332,391","165,990","76,741","1,132","56,512","5,252","4,103","22,661","4,377","18,284","426,147","53,315","2,269","13,061","2,419","190","231,694","123,199","109,211","13,988"
"Congressional District 32 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","689,035","257,316","86,220","14,663","1,154","136,245","349","3,260","15,425","2,305","13,120","431,719","39,383","789","14,829","1,694","0","223,177","151,847","142,256","9,591"
"Congressional District 33 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","686,798","590,825","403,477","24,950","1,014","103,140","1,786","5,402","51,056","8,588","42,468","95,973","15,854","623","2,184","705","0","26,342","50,265","43,734","6,531"
"Congressional District 34 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","696,606","278,866","91,554","36,073","1,344","128,565","1,072","2,928","17,330","3,168","14,162","417,740","29,278","1,936","14,693","1,307","30","270,304","100,192","88,377","11,815"
"Congressional District 35 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","748,055","213,335","77,668","47,253","1,598","66,779","572","2,618","16,847","3,088","13,759","534,720","42,658","2,201","15,419","2,161","465","313,793","158,023","145,461","12,562"
"Congressional District 36 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","761,959","364,017","276,800","37,124","2,647","24,022","1,874","1,176","20,374","3,958","16,416","397,942","42,933","2,506","8,700","1,078","837","178,459","163,429","150,865","12,564"
"Congressional District 37 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","700,635","416,319","171,078","138,893","980","70,560","705","4,615","29,488","7,984","21,504","284,316","15,207","3,151","8,404","762","215","174,286","82,291","76,169","6,122"
"Congressional District 38 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","691,366","242,752","96,608","25,226","521","99,767","3,373","2,700","14,557","1,675","12,882","448,614","50,748","1,046","18,647","2,591","1,221","248,007","126,354","116,083","10,271"
"Congressional District 39 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,834","467,764","184,238","17,037","458","239,126","1,558","2,036","23,311","2,301","21,010","262,070","33,225","1,431","7,080","4,119","101","109,518","106,596","97,360","9,236"
"Congressional District 40 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","681,700","79,071","28,489","24,458","156","18,614","1,321","1,265","4,768","1,901","2,867","602,629","44,357","470","19,546","996","59","336,330","200,871","190,841","10,030"
"Congressional District 41 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","765,124","270,568","132,795","68,483","740","44,917","3,738","1,497","18,398","3,642","14,756","494,556","33,669","2,873","8,109","510","739","327,526","121,130","108,120","13,010"
"Congressional District 42 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","841,945","494,178","315,269","41,640","1,065","82,468","1,178","8,300","44,258","7,500","36,758","347,767","42,033","2,155","3,999","1,873","103","175,715","121,889","103,286","18,603"
"Congressional District 43 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","728,012","365,888","97,280","142,858","1,038","92,212","1,271","3,418","27,811","3,801","24,010","362,124","26,290","3,608","15,439","1,436","92","165,842","149,417","137,026","12,391"
"Congressional District 44 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","698,216","205,853","46,422","91,118","1,053","47,099","1,839","3,405","14,917","1,668","13,249","492,363","62,831","2,075","16,753","947","76","219,529","190,152","179,693","10,459"
"Congressional District 45 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","808,871","651,108","365,739","14,846","742","221,699","2,771","3,800","41,511","8,553","32,958","157,763","21,199","2,172","3,027","2,140","367","54,313","74,545","63,553","10,992"
"Congressional District 46 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","701,726","244,780","113,942","12,437","1,129","100,878","1,946","877","13,571","1,927","11,644","456,946","81,229","658","10,158","1,858","300","230,077","132,666","126,276","6,390"
"Congressional District 47 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","701,834","445,083","197,217","41,574","1,402","172,375","1,764","2,937","27,814","4,252","23,562","256,751","68,531","2,008","9,773","1,908","254","102,030","72,247","61,591","10,656"
"Congressional District 48 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","712,717","562,838","371,000","7,670","1,135","141,066","1,250","4,577","36,140","8,243","27,897","149,879","16,801","829","3,127","683","287","64,734","63,418","56,249","7,169"
"Congressional District 49 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
