year,state_po,district,republican_victory,republican_president,midterm,pvi
2012,TX,12,True,False,False,17.64
2012,TX,13,True,False,False,30.2
2012,TX,14,True,False,False,9.78
2012,TX,15,False,False,False,-2.51
2012,TX,16,False,False,False,-10.19
2012,TX,17,True,False,False,12.23
2012,TX,18,False,False,False,-22.84
2012,TX,19,True,False,False,25.55
2012,TX,20,False,False,False,-4.27
2012,TX,21,True,False,False,11.09
2012,TX,22,True,False,False,14.91
2012,TX,23,False,False,False,4.34
2012,TX,24,True,False,False,13.52
2012,TX,25,True,False,False,10.48
2012,TX,26,True,False,False,19.09
2012,TX,27,True,False,False,12.86
2012,TX,28,False,False,False,-3.46
2012,TX,29,False,False,False,-8.61
2012,TX,30,False,False,False,-24.2
2012,TX,31,True,False,False,11.55
2012,TX,32,True,False,False,9.79
2012,TX,33,False,False,False,-14.74
2012,TX,34,False,False,False,-5.14
2012,TX,35,False,False,False,-9.75
2012,TX,36,True,False,False,22.03
2012,UT,1,True,False,False,23.98
2012,UT,2,True,False,False,15.14
2012,UT,3,True,False,False,24.23
2012,UT,4,False,False,False,12.81
2012,VT,0,False,False,False,-14.29
2012,VA,1,True,False,False,7.24
2012,VA,2,True,False,False,3.91
2012,VA,3,False,False,False,-24.17
2012,VA,4,True,False,False,5.21
2012,VA,5,True,False,False,5.4
2012,VA,6,True,False,False,11.6
2012,VA,7,True,False,False,10.39
2012,VA,8,False,False,False,-15.26
2012,VA,9,True,False,False,11.89
2012,VA,10,True,False,False,3.25
2012,VA,11,False,False,False,-8.19
2012,WA,1,False,False,False,-3.33
2012,WA,2,False,False,False,-7.79
2012,WA,3,True,False,False,1.85
2012,WA,4,True,False,False,13.75
2012,WA,5,True,False,False,6.32
2012,WA,6,False,False,False,-4.73
2012,WA,7,False,False,False,-28.07
2012,WA,8,True,False,False,1.49
2012,WA,9,False,False,False,-15.63
2012,WA,10,False,False,False,-4.47
2012,WV,1,True,False,False,10.28
2012,WV,2,True,False,False,8.46
2012,WV,3,False,False,False,8.5
2012,WI,1,True,False,False,2.55
2012,WI,2,False,False,False,-16.68
2012,WI,3,False,False,False,-6.07
2012,WI,4,False,False,False,-21.12
2012,WI,5,True,False,False,11.64
2012,WI,6,True,False,False,4.2
2012,WI,7,True,False,False,-0.14
2012,WI,8,True,False,False,0.6
2012,WY,0,True,False,False,19.96
2014,AL,1,True,False,True,14.46
2014,AL,2,True,False,True,16.06
2014,AL,3,True,False,True,15.34
2014,AL,4,True,False,True,27.71
2014,AL,5,True,False,True,16.73
2014,AL,6,True,False,True,27.43
2014,AL,7,False,False,True,-20.25
2014,AK,0,True,False,True,10.65
2014,AZ,1,False,False,True,3.76
2014,AZ,2,True,False,True,3.11
2014,AZ,3,False,False,True,-9.15
2014,AZ,4,True,False,True,19.99
2014,AZ,5,True,False,True,16.86
2014,AZ,6,True,False,True,12.38
2014,AZ,7,False,False,True,-18.73
2014,AZ,8,True,False,True,14.64
2014,AZ,9,False,False,True,0.17
2014,AR,1,True,False,True,14.3
2014,AR,2,True,False,True,8.15
2014,AR,3,True,False,True,19.32
2014,AR,4,True,False,True,15.26
2014,CA,1,True,False,True,10.19
2014,CA,2,False,False,True,-19.94
2014,CA,3,False,False,True,-3.53
2014,CA,4,True,False,True,10.91
2014,CA,5,False,False,True,-19.54
2014,CA,6,False,False,True,-18.26
2014,CA,7,False,False,True,0.19
2014,CA,8,True,False,True,9.46
2014,CA,9,False,False,True,-6.36
2014,CA,10,True,False,True,0.68
2014,CA,11,False,False,True,-17.27
2014,CA,12,False,False,True,-34.6
2014,CA,13,False,False,True,-38.07
2014,CA,14,False,False,True,-23.48
2014,CA,15,False,False,True,-16.96
2014,CA,16,False,False,True,-7.18
2014,CA,17,False,False,True,-20.76
2014,CA,18,False,False,True,-18.28
2014,CA,19,False,False,True,-19.79
2014,CA,20,False,False,True,-20.78
2014,CA,21,True,False,True,-2.6
2014,CA,22,True,False,True,9.78
2014,CA,23,True,False,True,15.31
2014,CA,24,False,False,True,-3.83
2014,CA,25,True,False,True,3.04
2014,CA,26,False,False,True,-3.47
2014,CA,27,False,False,True,-11.46
2014,CA,28,False,False,True,-20.2
2014,CA,29,False,False,True,-26.07
2014,CA,30,False,False,True,-14.7
2014,CA,31,False,False,True,-5.93
2014,CA,32,False,False,True,-13.59
2014,CA,33,False,False,True,-10.55
2014,CA,34,False,False,True,-31.98
2014,CA,35,False,False,True,-15.86
2014,CA,36,False,False,True,0.8
2014,CA,37,False,False,True,-34.51
2014,CA,38,False,False,True,-13.05
2014,CA,39,True,False,True,4.17
2014,CA,40,False,False,True,-29.97
2014,CA,41,False,False,True,-9.92
2014,CA,42,True,False,True,9.62
2014,CA,43,False,False,True,-26.68
2014,CA,44,False,False,True,-33.18
2014,CA,45,True,False,True,7.46
2014,CA,46,False,False,True,-9.79
2014,CA,47,False,False,True,-8.73
2014,CA,48,True,False,True,7.52
2014,CA,49,True,False,True,4.78
2014,CA,50,True,False,True,13.58
2014,CA,51,False,False,True,-17.36
2014,CA,52,False,False,True,-1.61
2014,CA,53,False,False,True,-10.35
2014,CO,1,False,False,True,-18.49
2014,CO,2,False,False,True,-7.75
2014,CO,3,True,False,True,4.9
2014,CO,4,True,False,True,11.62
2014,CO,5,True,False,True,12.83
2014,CO,6,True,False,True,-0.66
2014,CO,7,False,False,True,-5.45
2014,CT,1,False,False,True,-12.28
2014,CT,2,False,False,True,-5.04
2014,CT,3,False,False,True,-10.94
2014,CT,4,False,False,True,-4.28
2014,CT,5,False,False,True,-2.5
2014,DE,0,False,False,True,-7.85
2014,FL,1,True,False,True,21.4
2014,FL,2,False,False,True,5.27
2014,FL,3,True,False,True,13.98
2014,FL,4,True,False,True,19.13
2014,FL,5,False,False,True,-21.33
2014,FL,6,True,False,True,9.6
2014,FL,7,True,False,True,4.44
2014,FL,8,True,False,True,9.33
2014,FL,9,False,False,True,-9.17
2014,FL,10,True,False,True,6.06
2014,FL,11,True,False,True,11.05
2014,FL,12,True,False,True,6.6
2014,FL,13,True,False,True,1.36
2014,FL,14,False,False,True,-13.32
2014,FL,15,True,False,True,5.96
2014,FL,16,True,False,True,6.27
2014,FL,17,True,False,True,10.0
2014,FL,18,False,False,True,3.59
2014,FL,19,True,False,True,12.46
2014,FL,20,False,False,True,-30.17
2014,FL,21,False,False,True,-9.28
2014,FL,22,False,False,True,-2.95
2014,FL,23,False,False,True,-9.27
2014,FL,24,False,False,True,-34.94
2014,FL,25,True,False,True,3.89
2014,FL,26,True,False,True,-0.32
2014,FL,27,True,False,True,0.13
2014,GA,1,True,False,True,8.62
2014,GA,2,False,False,True,-6.33
2014,GA,3,True,False,True,18.73
2014,GA,4,False,False,True,-21.53
2014,GA,5,False,False,True,-31.87
2014,GA,6,True,False,True,13.85
2014,GA,7,True,False,True,13.33
2014,GA,8,True,False,True,14.5
2014,GA,9,True,False,True,30.75
2014,GA,10,True,False,True,14.56
2014,GA,11,True,False,True,19.69
2014,GA,12,True,False,True,8.29
2014,GA,13,False,False,True,-17.03
2014,GA,14,True,False,True,26.1
2014,HI,1,False,False,True,-18.38
2014,HI,2,False,False,True,-20.87
2014,ID,1,True,False,True,18.54
2014,ID,2,True,False,True,17.38
2014,IL,1,False,False,True,-27.55
2014,IL,2,False,False,True,-29.03
2014,IL,3,False,False,True,-5.0
2014,IL,4,False,False,True,-29.93
2014,IL,5,False,False,True,-15.92
2014,IL,6,True,False,True,5.08
2014,IL,7,False,False,True,-36.2
2014,IL,8,False,False,True,-7.04
2014,IL,9,False,False,True,-14.55
2014,IL,10,True,False,True,-7.25
2014,IL,11,False,False,True,-7.4
2014,IL,12,True,False,True,0.42
2014,IL,13,True,False,True,1.03
2014,IL,14,True,False,True,6.0
2014,IL,15,True,False,True,15.45
2014,IL,16,True,False,True,5.01
2014,IL,17,False,False,True,-6.71
2014,IL,18,True,False,True,12.62
2014,IN,1,False,False,True,-10.13
2014,IN,2,True,False,True,7.69
2014,IN,3,True,False,True,14.28
2014,IN,4,True,False,True,12.82
2014,IN,5,True,False,True,9.57
2014,IN,6,True,False,True,12.72
2014,IN,7,False,False,True,-12.34
2014,IN,8,True,False,True,9.89
2014,IN,9,True,False,True,9.52
2014,IA,1,True,False,True,-5.08
2014,IA,2,False,False,True,-4.53
2014,IA,3,True,False,True,-0.02
2014,IA,4,True,False,True,5.72
2014,KS,1,True,False,True,23.29
2014,KS,2,True,False,True,8.41
2014,KS,3,True,False,True,6.18
2014,KS,4,True,False,True,14.62
2014,KY,1,True,False,True,18.59
2014,KY,2,True,False,True,16.2
2014,KY,3,False,False,True,-4.22
2014,KY,4,True,False,True,16.4
2014,KY,5,True,False,True,26.62
2014,KY,6,True,False,True,8.73
2014,LA,1,True,False,True,25.35
2014,LA,2,False,False,True,-23.77
2014,LA,3,True,False,True,19.14
2014,LA,4,True,False,True,12.14
2014,LA,5,True,False,True,14.37
2014,LA,6,True,False,True,20.08
2014,ME,1,False,False,True,-8.82
2014,ME,2,True,False,True,-2.26
2014,MD,1,True,False,True,14.03
2014,MD,2,False,False,True,-11.22
2014,MD,3,False,False,True,-9.94
2014,MD,4,False,False,True,-26.09
2014,MD,5,False,False,True,-14.5
2014,MD,6,False,False,True,-3.93
2014,MD,7,False,False,True,-24.75
2014,MD,8,False,False,True,-11.21
2014,MA,1,False,False,True,-12.83
2014,MA,2,False,False,True,-8.04
2014,MA,3,False,False,True,-5.95
2014,MA,4,False,False,True,-6.06
2014,MA,5,False,False,True,-14.25
2014,MA,6,False,False,True,-3.61
2014,MA,7,False,False,True,-31.67
2014,MA,8,False,False,True,-6.5
2014,MA,9,False,False,True,-4.47
2014,MI,1,True,False,True,5.36
2014,MI,2,True,False,True,7.58
2014,MI,3,True,False,True,5.06
2014,MI,4,True,False,True,5.3
2014,MI,5,False,False,True,-9.6
2014,MI,6,True,False,True,1.9
2014,MI,7,True,False,True,3.14
2014,MI,8,True,False,True,2.88
2014,MI,9,False,False,True,-5.67
2014,MI,10,True,False,True,7.03
2014,MI,11,True,False,True,4.17
2014,MI,12,False,False,True,-14.79
2014,MI,13,False,False,True,-33.59
2014,MI,14,False,False,True,-29.01
2014,MN,1,False,False,True,1.33
2014,MN,2,True,False,True,2.02
2014,MN,3,True,False,True,1.62
2014,MN,4,False,False,True,-11.4
2014,MN,5,False,False,True,-22.88
2014,MN,6,True,False,True,9.58
2014,MN,7,False,False,True,6.54
2014,MN,8,False,False,True,-0.79
2014,MS,1,True,False,True,15.09
2014,MS,2,False,False,True,-13.83
2014,MS,3,True,False,True,13.12
2014,MS,4,True,False,True,20.84
2014,MO,1,False,False,True,-28.54
2014,MO,2,True,False,True,9.13
2014,MO,3,True,False,True,14.01
2014,MO,4,True,False,True,13.79
2014,MO,5,False,False,True,-8.3
2014,MO,6,True,False,True,12.36
2014,MO,7,True,False,True,20.17
2014,MO,8,True,False,True,18.1
2014,MT,0,True,False,True,7.96
2014,NE,1,True,False,True,9.96
2014,NE,2,False,False,True,5.03
2014,NE,3,True,False,True,23.2
2014,NV,1,False,False,True,-14.36
2014,NV,2,True,False,True,5.33
2014,NV,3,True,False,True,0.96
2014,NV,4,True,False,True,-3.62
2014,NH,1,True,False,True,0.98
2014,NH,2,False,False,True,-2.9
2014,NJ,1,False,False,True,-13.29
2014,NJ,2,True,False,True,-1.7
2014,NJ,3,True,False,True,0.24
2014,NJ,4,True,False,True,7.08
2014,NJ,5,True,False,True,3.81
2014,NJ,6,False,False,True,-8.98
2014,NJ,7,True,False,True,5.34
2014,NJ,8,False,False,True,-25.36
2014,NJ,9,False,False,True,-15.45
2014,NJ,10,False,False,True,-35.22
2014,NJ,11,True,False,True,5.23
2014,NJ,12,False,False,True,-14.63
2014,NM,1,False,False,True,-6.42
2014,NM,2,True,False,True,5.26
2014,NM,3,False,False,True,-7.95
2014,NY,1,True,False,True,1.72
2014,NY,2,True,False,True,0.3
2014,NY,3,False,False,True,0.44
2014,NY,4,False,False,True,-3.72
2014,NY,5,False,False,True,-36.76
2014,NY,6,False,False,True,-15.04
2014,NY,7,False,False,True,-35.98
2014,NY,8,False,False,True,-36.52
2014,NY,9,False,False,True,-33.2
2014,NY,10,False,False,True,-22.67
2014,NY,11,True,False,True,1.08
2014,NY,12,False,False,True,-26.46
2014,NY,13,False,False,True,-42.62
2014,NY,14,False,False,True,-27.91
2014,NY,15,False,False,True,-44.05
2014,NY,16,False,False,True,-21.66
2014,NY,17,False,False,True,-5.49
2014,NY,18,False,False,True,0.1
2014,NY,19,True,False,True,-0.98
2014,NY,20,False,False,True,-7.77
2014,NY,21,True,False,True,-0.59
2014,NY,22,True,False,True,2.58
2014,NY,23,True,False,True,2.76
2014,NY,24,True,False,True,-5.51
2014,NY,25,False,False,True,-7.39
2014,NY,26,False,False,True,-12.52
2014,NY,27,True,False,True,8.33
2014,NC,1,False,False,True,-20.51
2014,NC,2,True,False,True,10.12
2014,NC,3,True,False,True,11.35
2014,NC,4,False,False,True,-20.68
2014,NC,5,True,False,True,11.58
2014,NC,6,True,False,True,10.45
2014,NC,7,True,False,True,11.72
2014,NC,8,True,False,True,10.88
2014,NC,9,True,False,True,8.61
2014,NC,10,True,False,True,10.81
2014,NC,11,True,False,True,13.38
2014,NC,12,False,False,True,-26.58
2014,NC,13,True,False,True,8.59
2014,ND,0,True,False,True,11.08
2014,OH,1,True,False,True,5.3
2014,OH,2,True,False,True,7.87
2014,OH,3,False,False,True,-17.68
2014,OH,4,True,False,True,9.12
2014,OH,5,True,False,True,6.92
2014,OH,6,True,False,True,8.27
2014,OH,7,True,False,True,6.56
