MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad,MedianAge,Hispanic,White,Black,NativeAmerican,Asian,republican_victory,republican_president,midterm,pvi
43683.21,2012,IN,8,18.9,81.1,39.4,2.2,91.1,4.0,0.1,0.9,True,False,False,6.29
45358.29,2012,IN,9,23.6,76.3,37.2,3.2,90.4,2.5,0.1,2.0,True,False,False,7.98
47421.12,2012,IA,1,25.3,74.60000000000001,38.6,3.4,90.1,3.1,0.2,1.3,False,False,False,-5.28
47841.3,2012,IA,2,26.9,72.99999999999999,37.9,5.1,87.5,3.6,0.1,2.0,False,False,False,-4.19
53279.67,2012,IA,3,31.3,68.69999999999999,36.6,6.3,85.2,3.6,0.2,2.5,True,False,False,0.75
43944.06,2012,IA,4,21.5,78.5,39.4,6.1,89.3,1.2,0.3,1.4,True,False,False,4.48
43322.25,2012,KS,1,22.700000000000003,77.4,35.0,14.7,78.3,3.1,0.4,1.5,True,False,False,21.84
44203.5,2012,KS,2,27.3,72.8,37.3,6.0,83.5,4.0,1.3,1.4,True,False,False,7.31
57647.85,2012,KS,3,44.0,56.1,36.0,11.6,73.1,8.7,0.4,3.9,True,False,False,4.68
45936.39,2012,KS,4,27.0,73.10000000000001,35.8,11.4,74.9,6.8,1.1,3.1,True,False,False,13.62
39931.2,2012,KY,1,15.3,84.7,39.8,2.5,87.9,6.6,0.2,0.6,True,False,False,15.29
43994.82,2012,KY,2,18.3,81.6,38.1,2.9,87.9,5.6,0.2,1.3,True,False,False,15.7
45086.16,2012,KY,3,30.0,70.0,37.9,4.6,69.5,21.0,0.1,2.4,False,False,False,-2.97
51402.96,2012,KY,4,26.0,74.10000000000001,38.0,3.0,90.9,3.3,0.1,1.0,True,False,False,15.67
36676.92,2012,KY,5,11.5,88.49999999999999,40.2,0.8,96.1,1.4,0.1,0.5,True,False,False,18.52
45158.07,2012,KY,6,29.6,70.4,36.5,4.4,83.0,8.6,0.2,1.8,True,False,False,7.58
50590.8,2012,LA,1,27.8,72.3,38.1,7.8,73.3,13.3,1.0,2.4,True,False,False,25.7
42318.33,2012,LA,2,20.9,78.99999999999999,35.2,6.2,28.8,61.2,0.3,2.2,False,False,False,-21.34
44489.73,2012,LA,3,18.7,81.30000000000001,35.5,3.2,68.5,24.3,0.3,1.4,True,False,False,16.79
44082.24,2012,LA,4,19.200000000000003,80.89999999999999,36.3,3.5,59.0,33.8,0.8,0.9,True,False,False,11.91
39573.06,2012,LA,5,17.0,82.89999999999999,36.5,2.0,60.6,35.5,0.3,0.6,True,False,False,14.83
53255.7,2012,LA,6,27.8,72.1,34.8,4.3,68.2,23.8,0.2,1.9,True,False,False,20.5
48066.9,2012,ME,1,34.6,65.3,43.3,1.6,93.5,1.2,0.3,1.5,False,False,False,-8.23
42263.34,2012,ME,2,21.200000000000003,78.89999999999999,43.7,1.2,94.7,0.8,0.8,0.7,False,False,False,-2.16
57606.96,2012,MD,1,29.1,70.9,42.3,3.4,80.8,11.6,0.2,1.8,True,False,False,14.23
58782.9,2012,MD,2,28.6,71.39999999999999,36.3,5.8,54.0,31.9,0.3,5.3,False,False,False,-7.65
67076.51999999999,2012,MD,3,46.1,53.900000000000006,37.4,6.9,61.8,21.0,0.2,7.2,False,False,False,-7.52
59909.49,2012,MD,4,30.6,69.3,35.7,15.7,26.7,52.0,0.2,3.1,False,False,False,-23.87
72830.73,2012,MD,5,33.4,66.6,37.8,6.8,49.1,36.5,0.2,3.9,False,False,False,-11.4
62705.52,2012,MD,6,38.7,61.3,38.5,12.5,62.5,11.8,0.2,9.8,False,False,False,-2.92
58562.94,2012,MD,7,35.599999999999994,64.4,37.5,3.8,33.2,54.5,0.2,6.0,False,False,False,-23.24
72534.62999999999,2012,MD,8,52.3,47.7,39.6,14.3,62.6,11.3,0.2,8.8,False,False,False,-10.12
53429.13,2012,MA,1,28.2,71.9,41.3,15.8,74.8,5.7,0.1,1.9,False,False,False,-12.66
58732.14,2012,MA,2,36.0,64.0,38.1,9.0,79.9,4.1,0.2,5.0,False,False,False,-9.19
59377.92,2012,MA,3,35.3,64.69999999999999,39.8,16.7,71.5,2.5,0.2,6.8,False,False,False,-6.87
73071.84,2012,MA,4,48.6,51.4,40.3,3.8,85.3,2.5,0.0,6.2,False,False,False,-7.73
69742.83,2012,MA,5,52.2,47.7,38.8,7.8,75.0,4.7,0.1,9.9,False,False,False,-15.08
68275.01999999999,2012,MA,6,40.0,59.9,42.3,8.0,83.5,2.7,0.0,3.9,False,False,False,-5.17
52203.84,2012,MA,7,38.7,61.3,31.3,20.6,43.1,23.8,0.1,9.3,False,False,False,-30.13
66176.94,2012,MA,8,41.7,58.3,39.5,4.9,76.6,8.9,0.1,7.0,False,False,False,-7.75
54702.35999999999,2012,MA,9,32.099999999999994,67.9,44.5,4.7,88.3,2.5,0.2,1.3,False,False,False,-6.31
37200.03,2012,MI,1,22.3,77.7,45.6,1.4,91.6,1.6,2.5,0.7,True,False,False,3.32
43621.17,2012,MI,2,22.7,77.30000000000001,37.1,8.9,80.5,5.8,0.6,2.0,True,False,False,6.07
45476.73,2012,MI,3,28.2,71.8,36.2,7.0,79.9,8.6,0.4,1.5,True,False,False,4.01
42481.89,2012,MI,4,20.1,80.0,40.6,3.0,92.0,1.7,0.6,1.0,True,False,False,3.49
39839.55,2012,MI,5,17.9,82.19999999999999,40.5,4.4,74.5,17.6,0.4,0.7,False,False,False,-10.27
44347.32,2012,MI,6,25.1,74.9,38.9,5.5,81.7,8.3,0.5,1.5,True,False,False,0.53
45581.07,2012,MI,7,22.200000000000003,77.80000000000001,41.3,4.0,88.6,4.0,0.4,0.7,True,False,False,2.39
56923.10999999999,2012,MI,8,38.2,61.9,38.0,4.5,83.3,6.0,0.3,3.5,True,False,False,1.48
51123.78,2012,MI,9,27.6,72.4,41.4,2.6,79.8,10.9,0.3,3.6,False,False,False,-5.22
49727.88,2012,MI,10,21.4,78.6,41.5,2.9,90.6,3.1,0.2,1.4,True,False,False,4.97
65158.92,2012,MI,11,44.1,55.99999999999999,40.6,3.2,80.8,5.1,0.2,8.1,True,False,False,3.2
50273.55,2012,MI,12,31.0,69.10000000000001,35.8,5.3,75.8,11.1,0.2,4.8,False,False,False,-14.19
37631.49,2012,MI,13,13.6,86.5,36.0,7.1,33.3,56.1,0.3,1.0,False,False,False,-33.56
44742.12,2012,MI,14,29.4,70.5,38.7,4.5,32.0,56.2,0.3,4.3,False,False,False,-27.69
48716.91,2012,MN,1,26.6,73.39999999999999,37.7,5.9,87.6,2.6,0.1,2.2,False,False,False,1.26
61076.97,2012,MN,2,36.8,63.1,37.1,5.6,83.6,3.8,0.4,4.4,True,False,False,1.89
66487.14,2012,MN,3,47.0,53.10000000000001,39.7,4.3,80.2,6.6,0.3,6.2,True,False,False,1.83
57361.62,2012,MN,4,41.6,58.4,35.7,6.3,69.8,9.2,0.3,11.1,False,False,False,-10.5
52241.91,2012,MN,5,43.3,56.7,33.2,9.2,64.2,15.9,0.9,6.0,False,False,False,-21.51
57860.76,2012,MN,6,27.1,72.69999999999999,36.0,2.4,90.8,2.2,0.5,2.1,True,False,False,8.92
44737.89,2012,MN,7,20.8,79.19999999999999,41.0,4.0,90.2,0.6,2.8,0.8,False,False,False,5.34
44296.56,2012,MN,8,21.5,78.6,42.6,1.4,92.6,0.9,2.7,0.6,False,False,False,-1.64
42690.57,2012,MS,1,19.2,80.69999999999999,36.7,3.2,67.8,27.0,0.2,0.4,True,False,False,15.62
36375.18,2012,MS,2,17.7,82.3,34.9,1.6,32.2,64.9,0.2,0.5,False,False,False,-10.46
43788.96,2012,MS,3,25.4,74.60000000000001,37.0,2.2,59.5,35.6,1.0,0.9,True,False,False,14.87
42350.76,2012,MS,4,20.0,80.0,36.1,3.8,69.7,23.5,0.1,1.3,True,False,False,21.15
43306.74,2012,MO,1,28.4,71.6,35.0,3.1,42.2,49.0,0.2,2.7,False,False,False,-27.42
62551.83,2012,MO,2,46.6,53.3,42.2,2.7,87.6,3.7,0.0,4.1,True,False,False,6.68
46594.86,2012,MO,3,23.2,76.7,38.4,2.1,91.7,3.3,0.2,1.0,True,False,False,9.9
