MedianAge,Hispanic,White,Black,NativeAmerican,Asian,year,state_po,district
31.8,24.9,56.7,12.5,0.2,4.2,2012,TX,17
31.3,39.1,17.1,39.4,0.1,3.3,2012,TX,18
33.0,34.8,56.2,5.9,0.3,1.3,2012,TX,19
32.3,69.9,22.2,4.1,0.2,2.6,2012,TX,20
37.1,27.2,64.3,2.7,0.2,3.2,2012,TX,21
34.7,25.3,43.2,12.1,0.2,16.8,2012,TX,22
33.0,68.9,25.7,2.8,0.3,1.0,2012,TX,23
35.0,22.9,52.0,11.0,0.3,11.4,2012,TX,24
35.2,19.3,67.9,7.6,0.3,2.5,2012,TX,25
34.1,17.3,67.4,6.4,0.3,5.3,2012,TX,26
37.1,50.5,41.6,5.1,0.2,1.1,2012,TX,27
30.0,76.0,17.6,4.3,0.2,0.9,2012,TX,28
29.4,76.2,11.2,9.8,0.2,1.7,2012,TX,29
32.3,36.1,16.1,44.6,0.1,1.7,2012,TX,30
33.7,23.3,58.9,10.7,0.2,4.1,2012,TX,31
35.4,28.6,49.7,11.7,0.2,7.4,2012,TX,32
30.5,65.7,16.8,14.8,0.2,1.8,2012,TX,33
32.0,83.5,14.3,1.3,0.0,0.6,2012,TX,34
30.4,62.3,24.9,9.2,0.1,1.7,2012,TX,35
37.1,22.0,63.5,9.7,0.3,2.7,2012,TX,36
29.8,12.1,82.3,0.8,0.8,1.8,2012,UT,1
31.6,14.1,78.2,1.4,0.8,2.5,2012,UT,2
28.0,10.2,83.5,0.4,1.4,1.8,2012,UT,3
29.9,16.7,75.2,1.3,0.6,2.5,2012,UT,4
42.4,1.6,94.0,1.0,0.3,1.3,2012,VT,0
37.7,9.0,67.6,17.0,0.3,3.2,2012,VA,1
35.0,7.2,62.2,21.1,0.3,5.4,2012,VA,2
32.9,5.7,33.1,56.5,0.3,1.5,2012,VA,3
38.5,5.1,58.1,31.9,0.3,2.2,2012,VA,4
41.7,3.4,72.3,20.2,0.1,1.3,2012,VA,5
39.2,4.5,81.4,10.3,0.1,1.5,2012,VA,6
39.5,5.2,74.5,13.4,0.3,4.0,2012,VA,7
35.4,19.0,53.3,12.7,0.1,11.6,2012,VA,8
41.5,2.0,90.1,5.4,0.1,1.3,2012,VA,9
37.5,12.2,65.3,6.8,0.2,12.4,2012,VA,10
35.6,17.9,47.6,12.9,0.1,17.4,2012,VA,11
38.2,8.0,76.6,1.2,0.9,9.2,2012,WA,1
37.9,10.4,73.4,2.3,1.2,7.8,2012,WA,2
39.5,8.4,82.3,1.6,0.8,3.2,2012,WA,3
33.0,37.0,56.1,0.9,2.3,1.6,2012,WA,4
37.5,5.9,85.0,1.5,1.8,2.3,2012,WA,5
41.3,7.0,77.5,3.3,2.2,3.9,2012,WA,6
38.0,7.6,72.0,4.4,0.6,10.0,2012,WA,7
37.6,10.8,74.5,2.2,0.7,7.0,2012,WA,8
36.8,11.1,48.1,11.2,0.7,21.7,2012,WA,9
35.6,10.5,69.3,6.0,1.2,6.3,2012,WA,10
40.5,1.0,94.2,2.4,0.2,0.8,2012,WV,1
41.9,2.0,91.0,3.5,0.1,0.7,2012,WV,2
42.0,0.8,93.3,3.9,0.1,0.5,2012,WV,3
39.6,9.3,81.9,5.1,0.4,1.5,2012,WI,1
36.4,6.0,83.6,4.2,0.4,3.8,2012,WI,2
38.2,2.1,93.0,1.1,0.5,2.0,2012,WI,3
31.8,16.0,43.3,34.0,0.6,3.4,2012,WI,4
41.0,5.5,88.9,1.6,0.3,2.3,2012,WI,5
41.4,4.1,90.6,1.4,0.4,2.1,2012,WI,6
