MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad
44306.43,2012,NM,3,27.200000000000003,72.8
68297.58,2012,NY,1,33.8,66.1
62739.35999999999,2012,NY,2,28.5,71.5
75850.95,2012,NY,3,50.0,50.00000000000001
66449.06999999999,2012,NY,4,38.2,61.599999999999994
50097.299999999996,2012,NY,5,23.3,76.7
54870.149999999994,2012,NY,6,35.8,64.2
43416.72,2012,NY,7,28.1,71.89999999999999
53202.119999999995,2012,NY,8,27.799999999999997,72.3
50975.729999999996,2012,NY,9,33.0,67.0
77573.97,2012,NY,10,58.0,42.1
63786.99,2012,NY,11,31.700000000000003,68.3
95132.7,2012,NY,12,70.2,29.8
42404.34,2012,NY,13,27.799999999999997,72.1
44722.38,2012,NY,14,24.0,76.10000000000001
32327.07,2012,NY,15,11.799999999999999,88.3
63417.57,2012,NY,16,38.2,61.800000000000004
65804.7,2012,NY,17,43.599999999999994,56.5
63865.95,2012,NY,18,34.2,65.9
50334.18,2012,NY,19,26.9,73.0
57473.009999999995,2012,NY,20,35.0,65.0
47707.35,2012,NY,21,22.5,77.69999999999999
45454.17,2012,NY,22,23.700000000000003,76.3
44939.52,2012,NY,23,24.3,75.7
50893.95,2012,NY,24,28.0,72.10000000000001
52002.21,2012,NY,25,34.9,65.1
47736.96,2012,NY,26,29.1,70.9
53305.049999999996,2012,NY,27,28.6,71.5
38361.869999999995,2012,NC,1,18.7,81.4
47810.28,2012,NC,2,27.700000000000003,72.3
42639.81,2012,NC,3,22.1,77.8
47580.45,2012,NC,4,40.8,59.3
43308.149999999994,2012,NC,5,25.900000000000002,74.2
45287.79,2012,NC,6,27.1,72.9
43750.89,2012,NC,7,23.5,76.60000000000001
42441.0,2012,NC,8,16.299999999999997,83.8
58853.399999999994,2012,NC,9,46.8,53.199999999999996
41007.03,2012,NC,10,22.7,77.3
38281.5,2012,NC,11,21.5,78.5
38143.32,2012,NC,12,24.0,76.0
54943.469999999994,2012,NC,13,38.2,61.9
51673.68,2012,ND,0,28.0,72.1
50558.369999999995,2012,OH,1,31.3,68.7
47607.24,2012,OH,2,28.2,72.0
43824.21,2012,OH,3,25.9,74.2
44802.75,2012,OH,4,15.8,84.1
47235.0,2012,OH,5,23.7,76.4
42057.479999999996,2012,OH,6,15.4,84.69999999999999
